model,accuracy,precision,recall,f1,roc_auc,pr_auc,best_params
LogisticRegression,0.8967932178400295,0.6221498371335505,0.30078740157480316,0.40552016985138006,0.9009096780873587,0.5230155655220712,{'clf__C': 0.1}
RandomForest,0.9034279395503133,0.6608695652173913,0.3590551181102362,0.46530612244897956,0.9227324198751924,0.6019662793358446,"{'clf__max_depth': 20, 'clf__n_estimators': 400}"
GradientBoosting,0.8997419830446001,0.6004415011037527,0.4283464566929134,0.5,0.9249455590123871,0.5949680670119608,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300}"
